brazilian_artist,brazilian_track,original_artist,original_track,added_at,source,brazilian_has_spotify,original_has_spotify,in_playlist
Aline Mel e Forró na Veia,Dona do Prazer,Britney Spears,Toxic,'2026-01-18T18:16:51Z',https://open.spotify.com/playlist/44EQKq8pC1plEnaEB02OH5,True,True,True
Aline Mel e Forró na Veia,O Mar e as Lembranças,Evanescence,My Immortal,'2026-01-18T18:16:51Z',https://open.spotify.com/playlist/44EQKq8pC1plEnaEB02OH5,True,True,True
Aviões do Forró,"Que Tontos, Que Loucos",Monchy & Alexandra,Dos Locos,2026-01-17T21:15:00Z,https://jornaldaparaiba.com.br/cultura/lista-versoes-forro,False,,
Aviões do Forró,Blá Blá Blá,Natalie Imbruglia,Torn,'2026-01-18T18:16:51Z',https://open.spotify.com/playlist/44EQKq8pC1plEnaEB02OH5,True,True,True
Aviões do Forró,Se Não Valorizar,Rihanna,Umbrella,2026-01-17T21:15:00Z,https://imirante.com/entretenimento/sao-luis/2018/04/20/relembre-10-sucessos-do-forro-que-nasceram-de-hits-internacionais,True,True,True
Baby Som,Meu Grande Amor,Liverpool Express,You Are My Love,2026-01-17T21:00:00Z,https://jornaldaparaiba.com.br/cultura/lista-versoes-forro,True,True,True
Banda Líbanos,Brigas,Europe,Sign of the Times,'2026-01-18T18:16:51Z',https://open.spotify.com/playlist/44EQKq8pC1plEnaEB02OH5,True,True,True
Banda Líbanos,Porque Me Deixou,Debbie Gibson,Foolish Beat,'2026-01-18T18:16:51Z',https://open.spotify.com/playlist/44EQKq8pC1plEnaEB02OH5,True,True,True
Calcinha Preta,Agora Estou Sofrendo,Angra,Bleeding Heart,2026-01-17T21:20:00Z,https://whiplash.net/materias/melhores/343018-angra.html,True,True,True
Calcinha Preta,Amanda,Boston,Amanda,2026-01-18T00:00:00Z,"https://pt.wikipedia.org/wiki/Vencedor,_N%C3%B3s_Estamos_com_Voc%C3%AA!_(%C3%A1lbum_de_Calcinha_Preta)",True,True,True
Calcinha Preta,Amor de Verão,Whitesnake,Is This Love,2026-01-17T20:28:00Z,https://www.ibahia.com/diversao/musica/relembre-versoes-em-portugues-de-sucessos-internacionais-da-calcinha-preta-296377,False,,
Calcinha Preta,Como Fui Me Apaixonar,Beyoncé,Halo,2026-01-17T20:28:00Z,https://www.ibahia.com/diversao/musica/relembre-versoes-em-portugues-de-sucessos-internacionais-da-calcinha-preta-296377,True,True,True
Calcinha Preta,É Seu Amor Que Eu Quero,Foreigner,I Want to Know What Love Is,2026-01-17T20:20:00Z,https://www.ibahia.com/diversao/musica/relembre-versoes-em-portugues-de-sucessos-internacionais-da-calcinha-preta-296377,True,True,True
Calcinha Preta,Faço Chover,Bruno Mars,It Will Rain,2026-01-17T20:20:00Z,https://aratuon.com.br/entretenimento/galinho-10-vezes-que-calcinha-preta-melhorou-musicas-internacionais,True,True,True
Calcinha Preta,Fique No Meu Coração,Diane Warren,Here In My Heart,2026-01-18T00:00:00Z,"https://pt.wikipedia.org/wiki/Vencedor,_N%C3%B3s_Estamos_com_Voc%C3%AA!_(%C3%A1lbum_de_Calcinha_Preta)",,False,
Calcinha Preta,Garotas Não Choram,Fergie,Big Girls Don't Cry,2026-01-17T20:20:00Z,https://www.ibahia.com/diversao/musica/relembre-versoes-em-portugues-de-sucessos-internacionais-da-calcinha-preta-296377,True,True,True
Calcinha Preta,Hoje à Noite,Heart,Alone,2026-01-17T20:20:00Z,https://www.ibahia.com/diversao/musica/relembre-versoes-em-portugues-de-sucessos-internacionais-da-calcinha-preta-296377,True,True,True
Calcinha Preta,Já Me Acostumei,James Blunt,Same Mistake,2026-01-17T20:20:00Z,https://www.ibahia.com/diversao/musica/relembre-versoes-em-portugues-de-sucessos-internacionais-da-calcinha-preta-296377,True,True,True
Calcinha Preta,Louca Por Ti,Kansas,Dust in the Wind,2026-01-17T20:20:00Z,https://www.ibahia.com/diversao/musica/relembre-versoes-em-portugues-de-sucessos-internacionais-da-calcinha-preta-296377,True,True,True
Calcinha Preta,Não Vale a Pena,The Cranberries,Linger,2026-01-17T20:50:00Z,https://www.ibahia.com/diversao/musica/relembre-versoes-em-portugues-de-sucessos-internacionais-da-calcinha-preta-296377,True,True,True
Calcinha Preta,O Navio e o Mar,Scorpions,Send Me An Angel,2026-01-17T20:20:00Z,https://aratuon.com.br/entretenimento/galinho-10-vezes-que-calcinha-preta-melhorou-musicas-internacionais,True,True,True
Calcinha Preta,Paparazzi,Lady Gaga,Paparazzi,2026-01-17T20:20:00Z,https://aratuon.com.br/entretenimento/galinho-10-vezes-que-calcinha-preta-melhorou-musicas-internacionais,True,True,True
Calcinha Preta,Paradise,ABBA,Take a Chance on Me,2026-01-17T20:28:00Z,https://www.letras.mus.br/calcinha-preta/paradise-take-a-chance-on-me/,False,,
Calcinha Preta,Paulinha,Mariah Carey,Without You,2026-01-17T20:50:00Z,https://www.ibahia.com/diversao/musica/relembre-versoes-em-portugues-de-sucessos-internacionais-da-calcinha-preta-296377,True,True,True
Calcinha Preta,Por Que Tocou Meu Coração,K.I.S.S.,Because I'm A Girl,2026-01-17T20:50:00Z,https://www.ibahia.com/diversao/musica/relembre-versoes-em-portugues-de-sucessos-internacionais-da-calcinha-preta-296377,True,True,True
Calcinha Preta,Sem Explicação,Avril Lavigne,I Will Be,2026-01-17T20:20:00Z,https://aratuon.com.br/entretenimento/galinho-10-vezes-que-calcinha-preta-melhorou-musicas-internacionais,True,True,True
Calcinha Preta,Seu Amor É Bom,Shania Twain,You're Still The One,2026-01-17T20:20:00Z,https://aratuon.com.br/entretenimento/galinho-10-vezes-que-calcinha-preta-melhorou-musicas-internacionais,True,True,True
Calcinha Preta,Sou Seu Amor / Eu Te Amo,The Pretenders,I'll Stand By You,2026-01-17T20:20:00Z,https://www.ibahia.com/diversao/musica/relembre-versoes-em-portugues-de-sucessos-internacionais-da-calcinha-preta-296377,True,True,True
Calcinha Preta,Te Amo,Europe,Carrie,2026-01-17T21:20:00Z,https://whiplash.net/materias/melhores/343018-angra.html,True,True,True
